id	cluster
2926	3
2927	3
2928	1
2929	2
2930	1
2931	3
2932	2
2935	2
2936	2
2939	2
2942	2
2945	2
2947	2
2948	2
2951	2
2959	3
2962	2
2963	3
2965	3
2967	3
2971	3
2973	3
2974	1
2976	1
2977	2
2979	1
2980	2
2981	2
2982	3
2983	2
2985	3
2986	2
2988	3
2992	2
2994	1
2995	2
2999	3
3000	2
3003	3
3004	3
3005	2
3007	2
3008	2
3012	3
3014	1
3019	3
3020	3
3021	2
3022	3
3025	2
3026	2
3031	1
3034	2
3035	1
3042	3
3048	1
3049	1
3050	3
3053	2
3054	1
3062	1
3064	1
3073	3
3076	2
3079	3
3086	2
3089	3
3090	1
3091	2
3099	3
3105	2
3106	1
3109	2
3111	1
3117	1
3121	2
3122	2
3130	1
3131	1
3145	1
3152	3
3155	1
3158	1
3168	1
3171	2
3180	2
3183	2
3185	2
3186	2
3197	1
3198	2
3214	2
3217	1
3221	3
3235	2
3236	3
3252	3
3254	3
3263	3
3277	2
3279	2
3281	2
3294	1
3295	3
3298	3
3302	3
3309	2
3315	3
3317	2
3321	1
3326	2
3331	3
3332	1
3336	2
3347	2
3349	2
3354	1
3358	2
3362	1
3365	2
3373	1
3375	3
3384	3
3390	2
3391	3
3393	2
3399	3
3405	2
3406	3
3412	1
3415	2
3417	2
3424	1
3437	3
3438	3
3440	1
3441	2
3443	3
3452	3
3454	2
3456	2
3457	3
3458	1
3459	1
3460	2
3461	2
3462	1
3463	1
3465	3
3478	2
3479	2
3482	2
3483	1
3485	2
3495	2
3500	1
3502	1
3506	1
3507	3
3510	1
3511	1
3513	2
3516	3
3518	1
3519	3
3521	1
3522	1
3524	1
3526	1
3529	3
3530	1
3538	3
3543	2
3544	1
3548	3
3549	1
3551	2
3553	3
3559	1
3561	3
3565	2
3567	3
3575	2
3576	2
3579	2
3584	3
3585	2
3586	2
3587	2
3590	1
3593	2
3597	2
3599	1
3600	2
3604	2
3607	3
3608	3
3610	3
3611	1
3616	2
3618	3
3619	2
3621	3
3622	2
3624	1
3627	1
3628	1
3630	3
3633	3
3634	2
3640	2
3641	2
3646	2
3653	2
3656	3
3657	3
3662	2
3665	3
3672	1
3674	2
3675	2
3677	2
3679	3
3682	1
3686	2
3687	2
3688	2
3691	3
3692	2
3693	2
3698	2
3702	3
3704	2
3705	2
3706	2
3708	1
3709	1
3712	2
3713	2
3714	1
3716	2
3717	2
3723	3
3727	3
3729	1
3730	2
3732	1
3738	2
3740	2
3754	1
3760	2
3762	2
3775	1
3777	1
3785	1
3788	3
3791	1
3797	2
