1180	7
2634	11
30	11
2055	23
3091	23
27	23
552	23
1075	23
63	23
69	23
73	23
112	23
119	23
1171	23
661	23
150	23
669	23
158	23
1277	23
1289	23
2336	23
297	23
1328	23
821	23
311	23
2357	23
314	23
1342	23
326	23
338	23
1367	23
1915	23
399	23
948	23
443	23
467	23
25	26
375	28
2	32
2979	32
107	32
2830	32
124	32
69	53
1133	65
1158	69
1162	69
2060	69
810	69
2358	69
358	69
3309	69
1134	69
124	69
639	69
1034	70
2600	70
2602	70
2626	70
69	70
2644	70
3180	70
3185	70
3186	70
1139	70
3198	70
2687	70
134	70
1678	70
2716	70
1713	70
2764	70
725	70
2779	70
2807	70
1273	70
2302	70
3331	70
272	70
2325	70
2848	70
1317	70
2358	70
2360	70
2361	70
2370	70
2889	70
2380	70
338	70
345	70
2397	70
876	70
3437	70
2417	70
373	70
2421	70
2936	70
2430	70
2432	70
2947	70
2441	70
924	70
2981	70
2985	70
2999	70
445	70
3003	70
478	70
997	70
490	70
1162	73
3005	89
1311	102
1349	117
597	119
1034	135
113	135
2065	135
2388	135
1273	135
1576	136
430	147
2634	151
1152	265
423	265
1178	265
751	265
1044	265
2776	265
2687	265
2566	276
1417	276
2060	276
1180	276
3358	276
2976	276
688	276
2358	276
1080	276
3003	276
334	276
340	276
469	276
603	276
2417	276
2055	277
1277	294
2336	326
451	326
548	326
850	326
3186	326
436	326
537	326
1147	326
359	329
1713	334
997	338
2760	338
940	338
3281	338
898	350
100	350
32	360
409	360
2027	360
1165	360
3214	360
787	360
949	360
799	360
1162	372
2457	372
294	372
423	372
424	372
297	372
1575	372
555	372
686	372
690	372
1336	372
314	372
3131	372
1087	372
65	372
965	372
1096	372
337	372
855	372
2906	372
478	372
609	372
371	372
627	372
1198	394
273	394
1075	394
2	397
333	397
639	397
888	397
2457	397
2906	397
478	397
652	399
3121	399
2068	399
861	399
3302	410
2982	410
587	410
1273	410
32	423
2027	423
3214	423
122	430
423	430
2336	442
2730	442
2358	442
579	442
599	442
99	442
102	442
107	442
1259	442
3309	442
1134	442
124	442
2057	443
1087	443
9	444
2057	444
2068	444
548	444
1075	444
574	444
1090	444
69	444
107	444
1648	444
122	444
1147	444
154	444
2723	444
2739	444
3254	444
1243	444
1280	444
3331	444
276	444
2336	444
290	444
294	444
2346	444
1349	444
339	444
872	444
2421	444
2457	444
423	444
424	444
433	444
496	444
297	449
333	449
3042	452
1187	473
373	473
1158	474
1034	474
272	474
282	474
2981	474
294	474
450	474
710	474
355	474
483	474
122	474
1147	477
1140	477
2889	478
2370	478
424	483
2963	492
652	512
876	512
3021	512
2321	512
1093	537
73	537
842	537
562	537
2982	542
423	542
424	542
2055	542
655	542
2415	542
1180	546
2060	546
2951	550
876	552
412	552
3185	553
562	554
876	559
861	562
3180	569
861	570
329	589
663	598
1133	598
3180	621
599	623
1096	626
655	626
1087	626
793	626
376	626
699	626
511	626
809	630
3021	630
2065	630
598	630
681	639
591	639
518	642
1245	648
1134	679
2634	683
452	685
809	698
3021	698
2881	705
392	705
3026	705
2963	705
286	705
294	709
679	715
781	715
1365	715
1974	715
